feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
SV_10	timepoint	2_post	0.00448923317614242	0.00435230905505959	20	15	0.332497100278282	0.69838385561089
SV_100	timepoint	2_post	4.57616812537495e-05	3.16542018301613e-05	20	0	0.167571328499755	0.69838385561089
SV_101	metabolic_responder	R	-0.00937907810844357	0.00662277608634169	20	4	0.186260424138686	0.69838385561089
SV_101	timepoint	2_post	0.00512910285093661	0.00334778610687086	20	4	0.164037807579369	0.69838385561089
SV_101	time_responder	1_pre_R	0.00529981111308123	0.00473448451626099	20	4	0.295447541083285	0.69838385561089
SV_102	metabolic_responder	R	-6.87323631650049e-05	4.21326931056333e-05	20	0	0.122344233825543	0.69838385561089
SV_102	timepoint	2_post	5.13187660745995e-05	4.21326931056333e-05	20	0	0.240871261796879	0.69838385561089
SV_102	time_responder	1_pre_R	0.000125847189376602	5.958462600929e-05	20	0	0.0507553186804732	0.69838385561089
SV_104	timepoint	2_post	4.41542066378609e-05	4.20147502334989e-05	20	0	0.308909192223472	0.69838385561089
SV_104	time_responder	1_pre_R	8.30646347897403e-05	5.94178295999323e-05	20	0	0.181201429177011	0.69838385561089
SV_105	time_responder	1_pre_R	0.000403118562432862	0.000321884664588897	20	0	0.228432458688914	0.69838385561089
SV_106	metabolic_responder	R	-0.00253646518137519	0.00200662527491228	20	4	0.229958192737401	0.69838385561089
SV_107	time_responder	1_pre_R	0.00431178594277177	0.00424322711501094	20	1	0.324675131184565	0.69838385561089
SV_110	metabolic_responder	R	-0.000320401476261808	0.000285547347908688	20	1	0.279059769506166	0.69838385561089
SV_112	timepoint	2_post	-0.00406520397023447	0.00293924386405878	20	4	0.204013774875223	0.69838385561089
SV_113	time_responder	1_pre_R	0.00064985766394642	0.000670896305903123	20	1	0.361092913108567	0.69838385561089
SV_114	metabolic_responder	R	0.000996841854338499	0.000685718273000963	20	1	0.165504079415754	0.69838385561089
SV_114	time_responder	1_pre_R	-0.00114463191435624	0.000926285660500425	20	1	0.251615131923863	0.69838385561089
SV_115	metabolic_responder	R	0.00238260323374397	0.00104666268924355	20	5	0.0440277508271776	0.69838385561089
SV_115	time_responder	1_pre_R	-0.00180208126787265	0.000831549556324209	20	5	0.0620950260595263	0.69838385561089
