D3_inulin	D3_control	D2_xos	D2_inulin	D2_control	PCR_blank	D8_xos	D8_inulin	D8_control	D7_xos	D1_xos	D7_inulin	D7_control	D6_xos	D6_inulin	D6_control	D5_xos	D5_inulin	D5_control	D4_xos	D4_inulin	D1_inulin	D1_control	D4_control	D3_xos
EC:1.1.1.1	104542.11	103411.17	87790.99	82987.62	109474.45	33979.9	97826.66	106965.52	122862.97	79216.32	132686.13	63459.91	130274.54	114623.76	136087.01	109041.08	98314.54	85400.44	159144.4	112631.05	84816.35	64927.86	72839.83	126702.67	63796.46
EC:1.1.1.100	160129.85	154873.42	154273.48	156581.46	190795.15	46490.99	128745.35	173811.97	261651.26	122986.32	171996.39	98578.35	221027.38	147012.46	165917.34	143664.86	160563.49	142687.6	284974.57	126205.33	103227.59	132747.7	152783.06	227979.7	93603.09
EC:1.1.1.103	13159.27	17717.43	5025.93	5290.75	9528.2	5232.15	8748.62	16798.12	5838.72	11458.91	3448.78	7301.37	28469.15	17104.15	22759.93	19009.45	19071.55	13151.61	24317.49	31413.66	16769.13	6540.33	3760.85	11108.4	8721.27
EC:1.1.1.105	0	0	0	0	105	0	0	85	0	0	0	0	0	1090	1269	112	0	0	0	0	0	53	0	0	0
EC:1.1.1.108	170	166	148	124	280	106	108	138	116	106	72	88	3768	488	436	1056	138	284	1030	104	138	106	88.4	210	256
EC:1.1.1.11	58.5	126.12	29.95	0	72.08	0	324.75	1160.29	0	0	44	0	72.5	312.55	263.38	61.92	519.42	699.79	941.29	72	0	60.67	16.25	122.55	0
EC:1.1.1.122	23	60.62	14.62	0	33.75	0	250.25	885.75	0	0	15.5	0	26	206.38	168.38	41.25	366.75	514.12	647.12	23.5	0	46	16.25	35.38	0
EC:1.1.1.125	1894.12	1446.08	2196.85	3983.77	7412.91	2000.86	2619.02	6002.35	2618.09	2650.91	1572.06	1466.92	14584.44	3601.3	4734.46	6473.03	2842.63	3240.62	14240.77	2567.61	39281.15	2887.11	1437.33	4984.72	2587.73
EC:1.1.1.130	1464.83	1331.67	984.67	1799.57	3285	1072.67	1581	2926.71	4091.67	1635.16	523	1124	8429.6	1887.5	2559.6	4078.37	1004.67	996	2903.5	1474	38215.93	2123.33	964.2	3494.13	1994.53
EC:1.1.1.132	592.2	514.6	2482.6	1452.8	3381.4	270.8	1689	4257.4	818.2	1173.8	389.2	1138.4	662.8	2349	2571.8	2179.8	773.6	357.4	736	633.2	528.6	777.6	737.4	549.8	313.6
EC:1.1.1.133	73361.56	80317.87	62322.11	64400.21	93699.99	20888.4	52254.77	105439.43	99686.22	75146.8	51348.83	73283.24	124876.69	82415.27	106944.97	82071.67	83661.08	90096.5	180146.58	63721.64	77480.8	88691.51	72368.44	93424.61	49406.15
EC:1.1.1.136	220.1	277.93	197.84	72.94	354.2	132.4	141.8	187	179.9	138.3	221	84.2	377.4	258.57	111	191.76	133.8	144	572.97	299.7	91.8	51.6	128.13	588.2	120.9
EC:1.1.1.137	997.83	1432.16	5446	206.67	4851	1756.83	1021.67	1075.83	408.83	424	4115.83	582.67	5998.17	3469.17	1369	487.33	732	789.5	784.33	1083	135.5	108.17	1107.41	5637.5	1146.67
EC:1.1.1.14	43256.75	38159.6	47534.68	53094.31	51701.57	11942.19	27800.1	35246.15	100204.65	30150.44	14455.34	32292.79	95975.29	29445.88	27300.64	36562.49	40929.01	24649.73	57387.28	37624.24	132380.88	19774.83	19703.7	72439.23	24971.03
