D3_inulin	D3_control	D2_xos	D2_inulin	D2_control	PCR_blank	D8_xos	D8_inulin	D8_control	D7_xos	D1_xos	D7_inulin	D7_control	D6_xos	D6_inulin	D6_control	D5_xos	D5_inulin	D5_control	D4_xos	D4_inulin	D1_inulin	D1_control	D4_control	D3_xos
1CMET2-PWY	65907.7355995371	67144.7369280533	63212.428586022	61517.9391182785	70487.6279547297	19414.4362984	63844.0466597293	78014.8629731682	78535.6259069359	59495.9490810421	77188.1251901643	48846.7694893942	92354.3335682526	67191.3692067889	81300.0486228881	65265.0594488283	71563.4728726391	67469.592950586	114728.450618183	72907.1545888981	58884.5968207472	61362.3421635817	60690.3645222595	79952.573860713	41871.8031610685
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	110.568059008775	246.716460273201	55.4974144280735	0	161.514163311026	148.023966492129	556.075126316997	1691.64519927127	58.5013472278803	355.156600202125	85.5966609043032	0	138.718256269736	529.065214291838	938.87165525214	653.39921162446	945.05353890495	1228.76367650028	1777.52611177738	133.489541749133	0	143.571277692162	32.3272359209647	240.491289836546	28.6462216697933
AEROBACTINSYN-PWY	0	0	0	0	0	0	0	47.71	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	17.5
ALL-CHORISMATE-PWY	23966.4467706055	29788.6797721651	8469.44403860977	8560.87770284612	18663.8265833924	9584.651722588	18679.9197893264	31023.87917857	8157.50734067463	23890.2184640732	11484.323368775	17155.9266932177	36180.4051054688	32388.2595947321	42617.1906037354	32310.4982651937	27569.9702289297	25489.0752901778	40311.1708303425	44729.6061296548	29206.7036247723	17223.3640785626	13944.1391614521	20240.2707588907	17083.8691732772
ANAEROFRUCAT-PWY	81103.3027004203	83065.2100773146	78180.4193717622	72991.787176011	89651.1370959339	26201.8365755253	81927.147808754	97044.8977744687	64566.5719371302	73043.0238852017	90071.0846718242	60256.6361755191	115033.885026177	90223.6303924043	114752.241236337	81222.1260424344	89772.8759419068	86648.2385101317	144294.951916494	88447.5589445081	86134.3983151596	74346.2275777703	81112.2590614692	95524.8187899892	52462.05552895
ANAGLYCOLYSIS-PWY	85907.2334355982	88488.7934592568	83963.3910901817	76267.0833466568	96325.3076924365	26271.6871359254	87081.0213240678	103406.340182527	105312.781784884	82496.2519069143	107808.589169902	66895.1421968023	126571.9238978	93049.4653856396	119994.041091267	85600.7281926977	94643.4787889916	90109.1244064799	154841.190174657	97197.935600028	93351.9375675454	92417.9001493609	88735.3789298034	106960.193466707	56061.7714224625
ARG+POLYAMINE-SYN	33974.1874749158	39218.4662002064	19451.2576781232	17203.5642317446	27204.8070818884	11324.2357058961	22636.3243007106	33966.1252708468	18411.3951045952	29562.1466119558	14935.4812761421	19729.0600682663	41602.0882931819	34213.8848230172	41213.2997714897	36097.9305623445	35958.2743545612	30970.6681391077	54961.7671787984	51649.2350507626	33359.857024222	18957.4790541899	21988.3860914802	33763.3105040512	21640.3516224162
ARGDEG-PWY	15107.0248267677	20339.6920430503	3211.70638261108	4606.12108385608	7674.78231315637	6159.98925187649	9654.69214965413	17525.0234243531	4154.8688499123	13691.9530512675	4825.47189094781	8782.91491164551	17775.2158599463	19877.4999373911	26607.3582756576	21432.3544145896	15987.1528635585	14843.34067255	23374.8237893259	34375.7866394971	19000.9893258805	8123.26406533064	5542.41747617605	12658.4197234878	10026.0765558561
ARGORNPROST-PWY	11186.7731750675	7747.25373543286	19406.0511385074	9747.01347555205	29247.1683141854	6958.30588961554	13811.6658948086	18988.8140992413	12758.0565786402	9434.46224290819	15379.080557038	11654.1710671083	27423.898511384	31606.2060890138	38136.1492855849	22365.4918263614	16477.7854068165	10334.0869406905	24945.3060169388	13349.0123107864	8303.88390167539	9859.40352956138	15633.3456875396	10031.833768624	6893.08444058487
ARGSYN-PWY	63194.7176780121	62910.6864533924	62818.5737161354	58886.5549754498	67479.9501805617	18317.5522085464	57884.4553064588	65495.4958175316	74572.6384624394	50616.1869431877	76175.3322875603	38631.1441540439	82868.2105379297	54827.3097924602	65773.984671723	52595.1088593834	67363.2886415347	65400.709710634	108758.598286673	70580.2483239423	58046.1308765511	61483.5732160232	65110.0967949784	80323.848110488	40138.3878859034
ARGSYNBSUB-PWY	64244.1552912636	63951.8097752745	62916.4843843786	59516.9796719147	66044.67223033	18350.1517419143	57659.6022876321	64293.9694427594	75673.2027184748	49901.9327074285	76365.0889896129	37460.2869827608	83915.788780625	54470.2578505225	64734.7455424726	52660.7580008859	67965.5297611324	66086.7649133746	110553.390687115	72114.0900661588	58799.1483858458	53801.7536078654	61627.7189491062	81867.7731181573	40426.0485929505
ARO-PWY	78074.5156558433	78869.1429572997	75948.6443789904	72740.8686536821	83394.0360732743	21899.2908795207	71362.9424460352	86379.0885970808	100300.590175717	66958.6016056373	85594.7741367785	53003.3393184646	109172.735157005	78225.1245261599	95830.0816086058	74626.5014767249	84398.6845887649	77562.4681282075	134204.008615394	85720.7803403615	72450.3904867612	68632.9804124832	70971.3458647602	100297.528109209	48858.0027421247
ASPASN-PWY	58698.985884338	61862.4117983958	45716.0168519847	50163.9754707181	72933.6137168787	16833.14011369	48993.8588996971	73344.455581706	65040.1012264259	55730.8379069295	72350.3065415674	47166.1340444226	92995.042816856	55168.0815358638	69095.4954503702	58543.0630419532	66081.5387415236	64563.6151286919	117966.287912318	62097.711983896	64903.3814414456	115300.980884069	111628.825866738	64538.3691518855	40868.6621474044
AST-PWY	11130.67	15610.58	1938.9	2741.67	4972.16	4552	7005.84	14411.87	2688.34	10103.33	2736.33	6533	12569	15598.1	21367.43	17061.17	12235.17	11635.58	17924.58	27705.33	14929.33	5616.67	3034.83	8574.1	7352.5
BIOTIN-BIOSYNTHESIS-PWY	34500.3098311948	38916.2215735857	23249.649031992	20299.1581802822	40479.4825317767	11909.4632003867	31237.5105376917	53307.8537092385	16676.0233485722	41697.7957728889	20852.0233237918	36115.5851941557	52109.3100559521	44616.5329277786	58756.6184362793	46200.0666898342	37645.3631703379	32692.8269560112	50321.44348351	50191.9064900047	41405.598365885	35123.2369901913	28340.0870299369	28606.9236939676	25505.8708209873
BRANCHED-CHAIN-AA-SYN-PWY	83568.9302088399	84889.0398626812	82968.2635950112	78168.8820362584	87999.3488819753	23029.0116058505	84424.2357513481	88960.1041705295	102795.832619857	70883.4676344638	113718.996531025	55072.4589868338	115377.294350418	72349.64857343	89669.8510722243	70724.2684703169	89070.0296848084	84116.867676424	134881.626073006	91275.1114581843	74021.824799816	78556.8503073533	82846.0650022386	100528.051353548	53055.8652893543
CALVIN-PWY	89740.9899014429	92507.5245047109	78919.6601621198	76154.5272201012	98556.829629672	28375.4547340836	78322.0782374391	102843.562615815	107710.108980352	79081.1487593533	79811.614501967	63485.7264699517	129118.752764253	94736.5887139257	115770.284319968	91384.1653440334	95516.2149999102	88112.2789232546	158845.455949704	101324.419073452	87038.1732650745	77763.97644321	75970.4204901915	106876.93495119	57231.2475642009
CATECHOL-ORTHO-CLEAVAGE-PWY	58.5	126.12	29.95	0	72.08	0	324.75	1112.58	0	0	44	0	72.5	312.55	263.38	61.92	519.42	699.79	941.29	72	0	60.67	16.25	122.55	0
CENTFERM-PWY	16201.6287178866	15059.233662598	9267.35991570821	9825.96181481568	20930.3001596735	5194.07743454974	16309.1049193012	24309.7342952568	9940.95394806124	13468.17800859	8711.47442757249	11039.0048095837	32745.1777242019	17445.5432435632	20156.5960526259	19589.7024411501	18296.3805183905	15855.1941686403	31029.5141209258	12575.4480766925	19163.2437106178	7123.64813470165	7892.42894943669	16605.336257137	10101.4595604608
COA-PWY	65817.0444298004	66169.3860130321	65367.4867813744	61197.4144708943	73268.6899934107	19717.6480637866	65364.1696528908	76658.4080075162	80080.916781426	59438.361731126	79308.4632460433	48752.2012514219	93737.0622771432	68398.9734376264	85326.9972117695	64417.5248454338	73234.7579322439	69568.0529365763	119857.103691762	72121.7288070101	61639.4114619728	64621.6232665455	64985.6586745813	82258.0773647217	42339.2178094049
COBALSYN-PWY	48043.9022274683	50712.1813826608	35495.1449067522	41187.7117165754	47672.6206667327	13993.6920570166	32559.0365686066	48031.4169774482	73516.376045043	39914.5056283407	25197.9434601852	23503.2680828974	63500.6309419235	43026.4788539698	44543.3968311666	49076.1804195087	45699.1344852836	33300.7295460189	69140.2985824419	49208.1720770913	31656.4153751916	37014.0171287959	27669.9878998623	58743.9261463305	28776.6545076442
CODH-PWY	4434.58129573228	1450.77193184152	1294.5387248177	2022.69058774489	4734.19194038756	760.64556766321	1620.05357824571	1345.71084453884	1277.43905953401	1767.73797821477	3540.32686389868	1138.49947296281	4255.994455685	3251.49948463434	4262.67419446287	4956.80469929807	3020.469228352	2738.77489070685	4152.69777736785	1000.15370991219	1673.59892920472	18703.9735479577	18738.8843882851	1214.02739016973	5135.16540305842
COLANSYN-PWY	27055.9247185645	28091.8701729465	27346.6668940089	21161.1237937992	42605.093427945	7855.63633085942	32119.710387732	45919.3195036077	19685.111914656	36637.4588386313	42175.1366920679	34779.0866119578	51185.3503192453	31691.7397199042	44473.9839519013	32206.8219655349	27154.6539114642	26220.8580186501	35924.6408899465	19563.3099534912	27384.71736206	54015.3735558641	52558.1087809475	24862.123476212	20507.1070995979
COMPLETE-ARO-PWY	81145.9994583845	82064.2174058134	78790.7073889498	74875.1262009412	85821.7076029022	22772.9832002603	73868.311789244	89053.4485750978	103467.466674888	69189.2961980117	89704.5793014233	54723.9912537911	111975.118008267	79521.0041047827	97124.5949958498	76425.4761096925	87423.2022525082	81105.4919102322	140181.207520607	89477.9809755358	76424.623450242	70999.7156350697	72794.1261815401	103696.142437234	50785.13220381
DAPLYSINESYN-PWY	67199.8628401286	69697.1631934431	57337.2227887772	61520.3689863439	64570.4319270567	19526.6187167143	61005.9201084415	69451.2318928326	90218.0356300709	51689.1063042513	79011.8953566445	36642.0923851539	89010.9846543472	60961.0087513987	71557.8249731163	61608.1202009307	69827.5947211996	69389.1664080672	127463.784571384	73214.1096649695	68127.6597834644	49814.3295728888	51757.543779159	90896.7555006883	40533.9967015651
DENOVOPURINE2-PWY	59796.0242900913	61449.3314688532	57553.2715931292	47133.0718666993	72427.5342289032	20143.2803406873	62292.2185112107	79550.2943406405	51197.1116932266	60206.1760869605	70158.6657513069	54050.2972725974	95331.4302815488	74214.3135745703	94644.6792781987	68170.9819583002	69756.6154218474	63924.3941019605	105323.149556773	71279.4652577877	70226.629198486	72508.6207669042	72688.0924694173	64070.6511368114	41432.2465085072
